variety,points,points,points,points,points,points,points,points,price,price,price,price,price,price,price,price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
variety,,,,,,,,,,,,,,,,
Bordeaux-style Red Blend,5340,88.79213483,3.075173219,80,87,89,91,100,5340,47.21086142,92.81062873,7,19.75,30,50,3300
Bordeaux-style White Blend,695,87.90791367,3.122408199,81,86,87,90,100,695,34.72086331,89.30193455,6,13,17,28,1000
Bovale,4,89.75,1.5,88,88.75,90,91,91,4,30,0,30,30,30,30,30
Boğazkere,4,89.75,0.957427108,89,89,89.5,90.25,91,4,25.75,6.800735254,19,20.5,25.5,30.75,33
Brachetto,15,83.8,1.521277659,80,83,84,85,86,15,17.8,4.459340118,11,14.5,17,20.5,27
Braucol,5,90.6,2.302172887,87,90,91,92,93,5,27,10.19803903,12,24,29,30,40
Bual,6,94.33333333,2.250925735,92,92.5,94.5,95,98,6,100,87.69948689,34,44,50,158,230
Cabernet,9,86.77777778,1.715938357,84,85,87,88,89,9,16.77777778,8.941165721,12,13,13,14,40
Cabernet Blend,80,88.5,2.633763251,83,87,88,91,93,80,50.75,39.02174013,9,23.75,40,70,260
Cabernet Franc,1305,88.14482759,2.727055366,80,86,88,90,97,1305,34.83678161,21.38186682,10,22,29,40,180
Cabernet Franc-Cabernet Sauvignon,15,89.26666667,2.520393015,85,87.5,90,91,94,15,28.73333333,20.57552869,15,17,22,28,90
Cabernet Franc-Carmenère,2,86,0,86,86,86,86,86,2,12,0,12,12,12,12,12
Cabernet Franc-Lemberger,2,87,1.414213562,86,86.5,87,87.5,88,2,20,0,20,20,20,20,20
Cabernet Franc-Malbec,4,91,0,91,91,91,91,91,4,58.5,41,38,38,38,58.5,120
Cabernet Franc-Merlot,18,89.5,2.549509757,84,89,89.5,91,93,18,45.94444444,23.73746659,22,36.5,40,45,125
Cabernet Merlot,19,86.47368421,2.653476149,82,84.5,86,88.5,91,19,22.42105263,15.22540198,8,12,15,29,64
Cabernet Moravia,2,86.5,2.121320344,85,85.75,86.5,87.25,88,2,18,0,18,18,18,18,18
Cabernet Pfeffer,2,87.5,4.949747468,84,85.75,87.5,89.25,91,2,30,7.071067812,25,27.5,30,32.5,35
Cabernet Sauvignon,9386,88.61059024,3.321676235,80,86,88,91,100,9386,47.94001705,41.15723612,4,20,37,65,625
Cabernet Sauvignon Grenache,2,88,1.414213562,87,87.5,88,88.5,89,2,18.5,6.363961031,14,16.25,18.5,20.75,23
Cabernet Sauvignon-Barbera,1,84,,84,84,84,84,84,1,45,,45,45,45,45,45
Cabernet Sauvignon-Cabernet Franc,21,88.95238095,2.692140236,84,87,89,92,93,21,43.57142857,20.69437467,18,30,39,48,106
Cabernet Sauvignon-Carmenère,40,87.3,2.681369723,80,86,87,89,93,40,25.025,16.02800034,8,13.75,20,28,85
Cabernet Sauvignon-Malbec,18,87.11111111,4.676460312,80,82.5,87,91,95,18,38.55555556,39.0538425,8,12.25,21.5,39.75,135
Cabernet Sauvignon-Merlot,116,87.65517241,2.791613055,81,86,88,89.25,96,116,27.18103448,19.23701104,6,13,20,39,95
Cabernet Sauvignon-Merlot-Shiraz,3,89.66666667,2.309401077,87,89,91,91,91,3,16.66666667,5.773502692,10,15,20,20,20
Cabernet Sauvignon-Sangiovese,7,88.85714286,1.67616342,87,88,88,89.5,92,7,40.28571429,7.782764841,30,33.5,45,45,50
Cabernet Sauvignon-Shiraz,24,88.375,3.461747485,81,86,89.5,90,94,24,29.79166667,25.02343105,9,14.25,23,39.25,125
Cabernet Sauvignon-Syrah,102,88.91176471,3.258205,82,87,88,91,96,102,35.7745098,22.09829834,9,15,30,50,100
Cabernet Sauvignon-Tempranillo,15,86.2,1.934646516,81,85.5,86,88,88,15,14.73333333,3.63449086,9,12,15,18,19
Cabernet-Malbec,1,86,,86,86,86,86,86,1,11,,11,11,11,11,11
Cabernet-Shiraz,2,91,7.071067812,86,88.5,91,93.5,96,2,83.5,94.0452019,17,50.25,83.5,116.75,150
Cabernet-Syrah,12,89.16666667,1.800673275,87,88,89,89.25,93,12,26.66666667,7.843159537,16,21.5,27.5,30,40
Canaiolo,3,88.33333333,1.154700538,87,88,89,89,89,3,40.66666667,21.82506205,17,31,45,52.5,60
Cannonau,28,87.78571429,1.750283424,83,87,88,89,92,28,25.25,10.93964926,10,16.75,22.5,33,49
Caprettone,1,92,,92,92,92,92,92,1,19,,19,19,19,19,19
Carcajolu,1,88,,88,88,88,88,88,1,21,,21,21,21,21,21
Carignan,77,88.94805195,2.795184317,83,87,89,90,96,77,46.01298701,91.24194175,10,18,27,39,770
Carignan-Grenache,9,89.11111111,2.147349788,85,88,89,90,92,9,29.55555556,14.8501777,17,23,23,30,65
Carignan-Syrah,3,91,1.732050808,89,90.5,92,92,92,3,59,36.37306696,17,48.5,80,80,80
Carignane,29,88.86206897,1.787339162,85,88,89,90,92,29,27.24137931,6.260164149,18,22,28,29,42
Carignano,14,90.35714286,1.736802671,86,89.25,90.5,92,92,14,36.78571429,24.4294229,14,19,28,45,87
Carineña,5,86.2,2.588435821,83,85,86,87,90,5,22.2,16.72423391,8,10,13,35,45
Cariñena-Garnacha,2,89.5,0.707106781,89,89.25,89.5,89.75,90,2,31,0,31,31,31,31,31
Carmenère,567,86.6031746,2.500782311,80,85,87,88,94,567,21.52380952,24.2222275,6,12,15,22,235
Carmenère-Cabernet Sauvignon,7,88.85714286,2.478478796,86,87,89,90.5,92,7,27.14285714,21.74418368,12,13.5,15,35,66
Carmenère-Syrah,7,87.14285714,3.236694375,83,84.5,87,90,91,7,23,13.15294644,11,12,15,37,37
Carricante,37,89.83783784,2.034610439,85,89,90,91,95,37,40.40540541,30.0420626,19,25,35,45,195
Casavecchia,5,87,2.738612788,85,85,85,90,90,5,46.4,13.12630946,26,45,45,58,58
Castelão,32,87.5,2.794002794,83,85,87.5,90,93,32,16.5,12.21580151,7,10,12,18,70
Catalanesca,1,89,,89,89,89,89,89,1,19,,19,19,19,19,19
Catarratto,25,86.76,1.164760347,84,86,87,88,89,25,20.16,12.50893014,9,15,17,20,74
Cayuga,2,84.5,0.707106781,84,84.25,84.5,84.75,85,2,16,4.242640687,13,14.5,16,17.5,19
Centesimino,1,92,,92,92,92,92,92,1,36,,36,36,36,36,36
Cerceal,3,89.66666667,1.154700538,89,89,89,90,91,3,44.66666667,12.85820101,30,40,50,52,54
Cercial,1,88,,88,88,88,88,88,1,50,,50,50,50,50,50
Cesanese,2,90,0,90,90,90,90,90,2,20,0,20,20,20,20,20
Cesanese d'Affile,8,88.125,1.457737974,86,87,88,89.25,90,8,22.125,8.096516006,16,17.5,18,24.5,35
Chambourcin,18,83.72222222,2.080880909,80,82,84,85,87,18,17.66666667,6.462561867,10,14.25,16,19.5,35
Champagne Blend,1211,89.64574732,2.982182018,80,88,90,92,100,1211,70.74483898,60.34548026,7,40,55,80,600
Chancellor,2,80.5,0.707106781,80,80.25,80.5,80.75,81,2,16,5.656854249,12,14,16,18,20
Charbono,26,88.19230769,2.607975932,84,87,88,90,93,26,34.30769231,5.998461341,24,30,36,39.75,45
Chardonel,1,83,,83,83,83,83,83,1,11,,11,11,11,11,11
Chardonnay,11080,88.30297834,3.234521093,80,86,88,91,100,11080,34.52202166,42.24505533,4,18,26,40,2013
Chardonnay Weissburgunder,2,92,2.828427125,90,91,92,93,94,2,41.5,23.33452378,25,33.25,41.5,49.75,58
Chardonnay-Albariño,2,91.5,0.707106781,91,91.25,91.5,91.75,92,2,31,4.242640687,28,29.5,31,32.5,34
Chardonnay-Pinot Blanc,5,88.6,1.816590212,87,87,88,90,91,5,34.2,14.61848145,25,25,26,36,59
Chardonnay-Pinot Gris,1,85,,85,85,85,85,85,1,17,,17,17,17,17,17
Chardonnay-Riesling,1,87,,87,87,87,87,87,1,24,,24,24,24,24,24
Chardonnay-Sauvignon,6,86.33333333,1.751190072,84,85.25,86.5,87,89,6,13.66666667,2.160246899,11,11.75,14.5,15,16
Chardonnay-Sauvignon Blanc,6,87.83333333,0.40824829,87,88,88,88,88,6,13.33333333,2.065591118,12,12,12,15,16
Chardonnay-Semillon,7,86.71428571,3.59231985,81,84.5,88,89,91,7,18.85714286,5.304984179,13,17,18,18.5,30
Chardonnay-Viognier,33,85.42424242,1.785887437,82,84,86,87,88,33,16.6969697,6.317064431,10,11,15,20,35
Chasselas,7,89,1.527525232,86,88.5,90,90,90,7,21.71428571,3.093772547,19,19.5,22,22,28
Chelois,2,85,2.828427125,83,84,85,86,87,2,22.5,3.535533906,20,21.25,22.5,23.75,25
Chenin Blanc,533,88.40525328,2.807235981,80,86,88,90,99,533,23.23076923,17.02224415,6,14,18,26,159
Chenin Blanc-Chardonnay,27,88.07407407,1.959708101,85,87,88,89,92,27,15.74074074,4.399235883,9,12,15,18,25
Chenin Blanc-Sauvignon Blanc,6,84.83333333,0.752772653,84,84.25,85,85,86,6,10.5,1.870828693,9,9.25,10,10.75,14
Chenin Blanc-Viognier,13,87.53846154,1.983909634,83,86,88,89,90,13,15.76923077,6.084869845,10,14,14,16,35
Chinuri,3,86,1.732050808,84,85.5,87,87,87,3,25.33333333,6.429100507,18,23,28,29,30
Ciliegiolo,3,87.66666667,1.527525232,86,87,88,88.5,89,3,30.66666667,2.309401077,28,30,32,32,32
Cinsault,40,88.925,2.400721046,80,88,89,91,93,40,27.05,8.755803936,10,22,25,32,58
Clairette,2,88.5,0.707106781,88,88.25,88.5,88.75,89,2,21,12.72792206,12,16.5,21,25.5,30
Claret,33,88.18181818,3.156882812,83,85,88,91,93,33,50.06060606,44.31629172,16,22,28,40,140
Cococciola,1,86,,86,86,86,86,86,1,20,,20,20,20,20,20
Coda di Volpe,15,85.33333333,1.67616342,82,85,85,85.5,89,15,19.66666667,6.629659188,12,15.5,18,21,39
Colombard,23,87,1.906925178,84,86,87,88,91,23,16.52173913,8.473861228,8,9,18,20,42
Colombard-Sauvignon Blanc,15,85.46666667,0.990430402,84,85,86,86,87,15,11,1.414213562,9,10,11,12,13
Colombard-Ugni Blanc,8,85.125,0.640869944,84,85,85,85.25,86,8,10.25,1.281739889,9,9.75,10,10.25,13
Colorino,1,86,,86,86,86,86,86,1,40,,40,40,40,40,40
Cortese,66,86.43939394,1.360189895,84,86,86,87,89,66,21.68181818,9.820166207,10,15,20,23,50
Corvina,20,88.85,3.166851333,85,86,87,92.25,94,20,43.3,33.29943891,10,15,23,77.5,95
"Corvina, Rondinella, Molinara",496,88.49596774,2.660596096,82,87,88,90,96,496,47.90725806,50.23391212,9,20,35,60,530
Counoise,12,88.83333333,1.696699113,87,87,88.5,90.25,91,12,31.08333333,4.461111426,25,27.75,31,33.5,40
Códega do Larinho,4,87.75,0.5,87,87.75,88,88,88,4,18,0,18,18,18,18,18
Dafni,1,85,,85,85,85,85,85,1,20,,20,20,20,20,20
Debit,3,89,0,89,89,89,89,89,3,98.33333333,54.84827557,35,82.5,130,130,130
Diamond,1,86,,86,86,86,86,86,1,10,,10,10,10,10,10
Dolcetto,168,87.10714286,2.266749273,80,86,87,88,92,168,21.94047619,9.371700541,9,18,20,25,100
Dornfelder,27,86.66666667,2.130366527,83,86,86,87,93,27,17.03703704,10.45312423,7,12,12,17.5,47
Doña Blanca,1,84,,84,84,84,84,84,1,53,,53,53,53,53,53
Duras,6,88.16666667,2.316606714,85,86.5,88.5,89.75,91,6,21.33333333,9.521904571,14,16.5,18,21,40
Durella,9,89.66666667,1.414213562,87,89,90,90,92,9,31.11111111,10.98230901,20,21,29,42,45
Durif,2,86,2.828427125,84,85,86,87,88,2,32.5,3.535533906,30,31.25,32.5,33.75,35
Edelzwicker,4,88.75,1.892969449,86,88.25,89.5,90,90,4,19.75,5.678908346,16,16,17.5,21.25,28
Elbling,4,87.75,1.5,86,86.75,88,89,89,4,16,0,16,16,16,16,16
Emir,4,86.75,1.258305739,85,86.5,87,87.25,88,4,16,2,15,15,15,16,19
Encruzado,34,89.82352941,1.623139275,87,88.25,90,91,92,34,24.14705882,12.62064771,13,16.25,19,28.75,60
Erbaluce,3,88,0,88,88,88,88,88,3,28.66666667,10.96965511,16,25.5,35,35,35
Falanghina,75,87.26666667,1.638500743,83,86,87,88,92,75,21.01333333,7.849071788,12,16,18,23,50
Favorita,1,90,,90,90,90,90,90,1,40,,40,40,40,40,40
Fer Servadou,4,87,0,87,87,87,87,87,4,16.5,1.732050808,15,15,16.5,18,18
Fernão Pires,28,87.35714286,2.857275129,83,85,87,90,93,28,20.92857143,16.86532399,6,11.75,14.5,20,77
Feteasca,2,87.5,0.707106781,87,87.25,87.5,87.75,88,2,17.5,6.363961031,13,15.25,17.5,19.75,22
Feteasca Neagra,7,87.85714286,1.069044968,86,87.5,88,88.5,89,7,15.28571429,5.765248931,9,11,12,21,22
Feteascǎ Regalǎ,6,86.83333333,0.98319208,85,87,87,87,88,6,10.16666667,1.834847859,7,9.5,11,11,12
Fiano,130,88.35384615,2.278519642,82,87,88,90,94,130,27.59230769,12.02819437,10,20,24,30.75,88
Folle Blanche,1,85,,85,85,85,85,85,1,16,,16,16,16,16,16
Forcallà,1,83,,83,83,83,83,83,1,27,,27,27,27,27,27
Francisa,1,91,,91,91,91,91,91,1,160,,160,160,160,160,160
Franconia,1,86,,86,86,86,86,86,1,16,,16,16,16,16,16
Frankovka,1,88,,88,88,88,88,88,1,24,,24,24,24,24,24
Frappato,36,87.5,1.949358869,84,86,87,89.25,91,36,22.5,7.439277999,13,16.75,21,24.5,42
Freisa,2,86.5,0.707106781,86,86.25,86.5,86.75,87,2,21,1.414213562,20,20.5,21,21.5,22
Friulano,112,88.01785714,1.805807163,84,87,88,89,94,112,23.71428571,10.98764955,10,18,21.5,26.25,90
Früburgunder,1,90,,90,90,90,90,90,1,40,,40,40,40,40,40
Fumé Blanc,70,87.95714286,2.970559476,82,86,88,90,95,70,22.7,13.2318785,9,14,19,24,75
Furmint,55,89.8,2.222777708,83,89,90,90,96,55,45.03636364,106.8682061,14,20,25,32.5,764
G-S-M,180,88.95555556,2.861460779,81,87,89,91,95,180,34.46111111,13.95898377,8,25,34,42,85
Gaglioppo,14,86.64285714,1.984832597,82,86,86.5,87.75,91,14,21.21428571,10.73583913,12,13.5,18.5,23.75,52
Gamay,836,88.17703349,2.534504178,82,86,88,90,94,836,20.69976077,11.00330054,9,15,20,24,224
Gamay Noir,22,87.72727273,2.074374678,82,87,88,89,91,22,23,3.625307869,16,20.25,24,25,29
Gamza,1,89,,89,89,89,89,89,1,11,,11,11,11,11,11
Garganega,218,87.61009174,2.103166143,84,86,87,88,95,218,20.64678899,10.07296028,10,14,17,25,63
Garnacha,325,85.94153846,2.753162733,80,84,86,88,95,325,23.17538462,33.27128499,5,10,14,20,290
Garnacha Blanca,38,86.21052632,2.417927354,80,85,87,88,91,38,18.71052632,9.337248552,8,12,17,20,49
Garnacha Blend,2,87.5,2.121320344,86,86.75,87.5,88.25,89,2,19,12.72792206,10,14.5,19,23.5,28
Garnacha Tintorera,8,87.125,2.748376144,84,84.75,87,89.25,91,8,16.75,11.5974135,10,11,13.5,15,45
Garnacha-Cabernet,1,85,,85,85,85,85,85,1,13,,13,13,13,13,13
Garnacha-Cariñena,1,93,,93,93,93,93,93,1,57,,57,57,57,57,57
Garnacha-Monastrell,3,87,2,85,86,87,88,89,3,11.66666667,3.785938897,9,9.5,10,13,16
Garnacha-Syrah,13,84.61538462,1.502135232,82,83,85,86,87,13,13.23076923,4.548879828,8,10,12,15,25
Garnacha-Tempranillo,6,86.33333333,1.032795559,85,85.5,87,87,87,6,11,3.098386677,8,10,10,10.75,17
Gelber Muskateller,23,89.08695652,1.703286755,87,88,89,90.5,92,23,25.60869565,16.61253396,17,19.5,22,24,99
Gelber Traminer,1,95,,95,95,95,95,95,1,35,,35,35,35,35,35
Gewürztraminer,956,88.60983264,2.800050032,80,87,89,90,96,956,26.2834728,15.96108418,6,17,22,30,197
Gewürztraminer-Riesling,7,86.57142857,3.154739443,82,84.5,88,88,91,7,23.71428571,17.25991778,11,13.5,15,26.5,60
Glera,604,87.36754967,1.981842942,82,86,87,88,93,604,20.11754967,7.443836585,5,15,18,22,75
Godello,77,86.88311688,2.400515438,80,85,87,88,91,77,22.50649351,10.26186525,12,18,20,23,70
Gouveio,2,88.5,0.707106781,88,88.25,88.5,88.75,89,2,22.5,4.949747468,19,20.75,22.5,24.25,26
Graciano,42,88.54761905,2.624484906,82,87,88.5,91,94,42,46.30952381,39.17782355,10,22,30,49.5,147
Gragnano,2,82.5,2.121320344,81,81.75,82.5,83.25,84,2,16.5,0.707106781,16,16.25,16.5,16.75,17
Grauburgunder,13,88.92307692,1.754116039,86,88,89,90,91,13,24.53846154,8.23220692,12,22,24,24,48
Graševina,1,89,,89,89,89,89,89,1,20,,20,20,20,20,20
Grecanico,7,87.42857143,2.299068134,86,86,86,88,92,7,21.14285714,11.00649159,11,15,19,22,44
Grechetto,11,86.90909091,1.513574937,85,86,87,88,90,11,16.81818182,3.092512953,10,15,18,19,20
Greco,111,88.54054054,2.05728764,83,87,89,90,94,111,26.57657658,10.60835824,13,20,24,30,60
Greco Bianco,2,86,1.414213562,85,85.5,86,86.5,87,2,16.5,6.363961031,12,14.25,16.5,18.75,21
Grenache,648,88.96450617,2.863235932,81,87,89,91,97,648,35.68055556,19.51224698,6,25,32,40,230
Grenache Blanc,128,88.8046875,2.046924306,82,88,89,90,93,128,25.1171875,4.450287249,17,22,25,27,40
Grenache Blend,10,86.7,3.591656999,83,85,86,87.5,95,10,22.7,17.47410783,9,10.5,17.5,23.75,65
Grenache Gris,1,87,,87,87,87,87,87,1,22,,22,22,22,22,22
Grenache Noir,3,89,2.645751311,86,88,90,90.5,91,3,28.33333333,16.86218649,9,22.5,36,38,40
Grenache-Carignan,17,89.76470588,2.750668368,84,88,91,92,93,17,27.82352941,12.4360127,13,21,25,30,60
